#logback.classic pattern: %d{yyyy-MM-dd} | %d{HH:mm:ss.SSS} [%thread] %-5level %logger{36} | %msg%n
#logback.classic pattern: %d{yyyy-MM-dd} | %d{HH:mm:ss.SSS} [%thread] %-5level %logger{36} | %msg%n
2020-04-22 | 10:49:42.967 [restartedMain] INFO  c.s.app.SpringMessagingApplication | Starting SpringMessagingApplication on DESKTOP-OGS95GR with PID 15284 (D:\Solum\spring-integration\target\classes started by solum20 in D:\Solum\spring-integration)
2020-04-22 | 10:49:42.981 [restartedMain] DEBUG c.s.app.SpringMessagingApplication | Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-04-22 | 10:49:42.981 [restartedMain] INFO  c.s.app.SpringMessagingApplication | No active profile set, falling back to default profiles: default
2020-04-22 | 10:49:44.273 [restartedMain] INFO  c.s.app.SpringMessagingApplication | Started SpringMessagingApplication in 1.558 seconds (JVM running for 2.681)
2020-04-22 | 10:50:16.561 [http-nio-8181-exec-1] TRACE c.s.a.c.IntegrationContoller | This is a TRACE message.
2020-04-22 | 10:50:16.561 [http-nio-8181-exec-1] DEBUG c.s.a.c.IntegrationContoller | This is a DEBUG message.
2020-04-22 | 10:50:16.562 [http-nio-8181-exec-1] INFO  c.s.a.c.IntegrationContoller | This is an INFO message.
2020-04-22 | 10:50:16.562 [http-nio-8181-exec-1] WARN  c.s.a.c.IntegrationContoller | This is a WARN message.
2020-04-22 | 10:50:16.562 [http-nio-8181-exec-1] ERROR c.s.a.c.IntegrationContoller | You guessed it, an ERROR message.
2020-04-22 | 10:50:22.540 [http-nio-8181-exec-2] TRACE c.s.a.c.IntegrationContoller | This is a TRACE message.
2020-04-22 | 10:50:22.541 [http-nio-8181-exec-2] DEBUG c.s.a.c.IntegrationContoller | This is a DEBUG message.
2020-04-22 | 10:50:22.541 [http-nio-8181-exec-2] INFO  c.s.a.c.IntegrationContoller | This is an INFO message.
2020-04-22 | 10:50:22.542 [http-nio-8181-exec-2] WARN  c.s.a.c.IntegrationContoller | This is a WARN message.
2020-04-22 | 10:50:22.543 [http-nio-8181-exec-2] ERROR c.s.a.c.IntegrationContoller | You guessed it, an ERROR message.
2020-04-22 | 10:55:51.858 [Thread-12] INFO  c.s.app.logic.InitGracefulShutdown | Commencing graceful shutdown, allowing up to 30s for active requests to complete
2020-04-22 | 10:55:51.860 [Thread-12] INFO  c.s.app.logic.InitGracefulShutdown | Graceful shutdown completed
