#logback.classic pattern: %d{yyyy-MM-dd} | %d{HH:mm:ss.SSS} [%thread] %-5level %logger{36} | %msg%n
2020-04-22 | 10:59:53.986 [restartedMain] INFO  c.s.app.SpringMessagingApplication | Starting SpringMessagingApplication on DESKTOP-OGS95GR with PID 15284 (D:\Solum\spring-integration\target\classes started by solum20 in D:\Solum\spring-integration)
2020-04-22 | 10:59:53.986 [restartedMain] DEBUG c.s.app.SpringMessagingApplication | Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-04-22 | 10:59:53.986 [restartedMain] INFO  c.s.app.SpringMessagingApplication | No active profile set, falling back to default profiles: default
2020-04-22 | 10:59:54.298 [restartedMain] INFO  c.s.app.SpringMessagingApplication | Started SpringMessagingApplication in 0.333 seconds (JVM running for 612.706)
2020-04-22 | 11:00:06.643 [http-nio-8181-exec-2] DEBUG c.s.a.c.IntegrationContoller | This is a DEBUG message.
2020-04-22 | 11:00:06.645 [http-nio-8181-exec-2] INFO  c.s.a.c.IntegrationContoller | This is an INFO message.
2020-04-22 | 11:00:06.646 [http-nio-8181-exec-2] WARN  c.s.a.c.IntegrationContoller | This is a WARN message.
2020-04-22 | 11:00:06.646 [http-nio-8181-exec-2] ERROR c.s.a.c.IntegrationContoller | You guessed it, an ERROR message.
2020-04-22 | 11:00:12.177 [http-nio-8181-exec-1] DEBUG c.s.a.c.IntegrationContoller | This is a DEBUG message.
2020-04-22 | 11:00:12.178 [http-nio-8181-exec-1] INFO  c.s.a.c.IntegrationContoller | This is an INFO message.
2020-04-22 | 11:00:12.179 [http-nio-8181-exec-1] WARN  c.s.a.c.IntegrationContoller | This is a WARN message.
2020-04-22 | 11:00:12.181 [http-nio-8181-exec-1] ERROR c.s.a.c.IntegrationContoller | You guessed it, an ERROR message.
2020-04-22 | 11:00:13.522 [http-nio-8181-exec-3] DEBUG c.s.a.c.IntegrationContoller | This is a DEBUG message.
2020-04-22 | 11:00:13.524 [http-nio-8181-exec-3] INFO  c.s.a.c.IntegrationContoller | This is an INFO message.
2020-04-22 | 11:00:13.525 [http-nio-8181-exec-3] WARN  c.s.a.c.IntegrationContoller | This is a WARN message.
2020-04-22 | 11:00:13.526 [http-nio-8181-exec-3] ERROR c.s.a.c.IntegrationContoller | You guessed it, an ERROR message.
2020-04-22 | 11:03:58.567 [RMI TCP Connection(4)-127.0.0.1] INFO  c.s.app.logic.InitGracefulShutdown | Commencing graceful shutdown, allowing up to 30s for active requests to complete
2020-04-22 | 11:03:58.571 [RMI TCP Connection(4)-127.0.0.1] INFO  c.s.app.logic.InitGracefulShutdown | Graceful shutdown completed
